Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Master,Miss,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_T,Emb_C,Emb_Q,Emb_S,Fare_round
0,3,0,22.0,1,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0
1,1,1,38.0,1,0,71.2833,0,0,0,0,1,0,0,0,0,0,1,0,0,71.0
1,3,1,26.0,0,0,7.925,0,1,0,0,0,0,0,0,0,0,0,0,1,8.0
1,1,1,35.0,1,0,53.1,0,0,0,0,1,0,0,0,0,0,0,0,1,53.0
0,3,0,35.0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,0,35.57316393204183,0,0,8.4583,0,0,0,0,0,0,0,0,0,0,0,1,0,8.0
0,1,0,54.0,0,0,51.8625,0,0,0,0,0,0,1,0,0,0,0,0,1,52.0
0,3,0,2.0,3,1,21.075,1,0,0,0,0,0,0,0,0,0,0,0,1,21.0
1,3,1,27.0,0,2,11.1333,0,0,0,0,0,0,0,0,0,0,0,0,1,11.0
1,2,1,14.0,1,0,30.0708,0,0,0,0,0,0,0,0,0,0,1,0,0,30.0
1,3,1,4.0,1,1,16.7,0,1,0,0,0,0,0,0,1,0,0,0,1,17.0
1,1,1,58.0,0,0,26.55,0,1,0,0,1,0,0,0,0,0,0,0,1,27.0
0,3,0,20.0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,0,39.0,1,5,31.275,0,0,0,0,0,0,0,0,0,0,0,0,1,31.0
0,3,1,14.0,0,0,7.8542,0,1,0,0,0,0,0,0,0,0,0,0,1,8.0
1,2,1,55.0,0,0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.0
0,3,0,2.0,4,1,29.125,1,0,0,0,0,0,0,0,0,0,0,1,0,29.0
1,2,0,31.971714589929253,0,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.0
0,3,1,31.0,1,0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0
1,3,1,28.105987042271757,0,0,7.225,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0
0,2,0,35.0,0,0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.0
1,2,0,34.0,0,0,13.0,0,0,0,0,0,1,0,0,0,0,0,0,1,13.0
1,3,1,15.0,0,0,8.0292,0,1,0,0,0,0,0,0,0,0,0,1,0,8.0
1,1,0,28.0,0,0,35.5,0,0,1,0,0,0,0,0,0,0,0,0,1,36.0
0,3,1,8.0,3,1,21.075,0,1,0,0,0,0,0,0,0,0,0,0,1,21.0
1,3,1,38.0,1,5,31.3875,0,0,0,0,0,0,0,0,0,0,0,0,1,31.0
0,3,0,27.895824337215522,0,0,7.225,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0
0,1,0,19.0,3,2,263.0,0,0,0,0,1,0,0,0,0,0,0,0,1,263.0
1,3,1,22.525855102077195,0,0,7.8792,0,1,0,0,0,0,0,0,0,0,0,1,0,8.0
0,3,0,29.952084517899863,0,0,7.8958,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,1,0,40.0,0,0,27.7208,0,0,0,0,0,0,0,0,0,0,1,0,0,28.0
1,1,1,37.3725577954187,1,0,146.5208,0,0,0,1,0,0,0,0,0,0,1,0,0,147.0
1,3,1,22.525820723503145,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,1,0,8.0
0,2,0,66.0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0
0,1,0,28.0,1,0,82.1708,0,0,0,0,0,0,0,0,0,0,1,0,0,82.0
0,1,0,42.0,1,0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,1,52.0
1,3,0,23.720639316542595,0,0,7.2292,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0
0,3,0,21.0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,1,18.0,2,0,18.0,0,1,0,0,0,0,0,0,0,0,0,0,1,18.0
1,3,1,14.0,1,0,11.2417,0,1,0,0,0,0,0,0,0,0,1,0,0,11.0
0,3,1,40.0,1,0,9.475,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0
0,2,1,27.0,1,0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,1,21.0
0,3,0,27.896002829069026,0,0,7.8958,0,0,0,0,0,0,0,0,0,0,1,0,0,8.0
1,2,1,3.0,1,2,41.5792,0,1,0,0,0,0,0,0,0,0,1,0,0,42.0
1,3,1,19.0,0,0,7.8792,0,1,0,0,0,0,0,0,0,0,0,1,0,8.0
0,3,0,29.952125548674772,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,0,33.32442028263804,1,0,15.5,0,0,0,0,0,0,0,0,0,0,0,1,0,16.0
1,3,1,22.525820723503145,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,1,0,8.0
0,3,0,23.3984357038511,2,0,21.6792,0,0,0,0,0,0,0,0,0,0,1,0,0,22.0
0,3,1,18.0,1,0,17.8,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0
0,3,0,7.0,4,1,39.6875,1,0,0,0,0,0,0,0,0,0,0,0,1,40.0
0,3,0,21.0,0,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
1,1,1,49.0,1,0,76.7292,0,0,0,0,0,1,0,0,0,0,1,0,0,77.0
1,2,1,29.0,1,0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.0
0,1,0,65.0,0,1,61.9792,0,0,0,1,0,0,0,0,0,0,1,0,0,62.0
1,1,0,38.046669712001616,0,0,35.5,0,0,0,0,1,0,0,0,0,0,0,0,1,36.0
1,2,1,21.0,0,0,10.5,0,1,0,0,0,0,0,0,0,0,0,0,1,10.0
0,3,0,28.5,0,0,7.2292,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0
1,2,1,5.0,1,2,27.75,0,1,0,0,0,0,0,0,0,0,0,0,1,28.0
0,3,0,11.0,5,2,46.9,1,0,0,0,0,0,0,0,0,0,0,0,1,47.0
0,3,0,22.0,0,0,7.2292,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0
1,1,1,38.0,0,0,80.0,0,1,0,1,0,0,0,0,0,0,0,0,0,80.0
0,1,0,45.0,1,0,83.475,0,0,0,0,1,0,0,0,0,0,0,0,1,83.0
0,3,0,4.0,3,2,27.9,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0
0,1,0,40.28819411180508,0,0,27.7208,0,0,0,0,0,0,0,0,0,0,1,0,0,28.0
1,3,0,0.6028358367922309,1,1,15.2458,1,0,0,0,0,0,0,0,0,0,1,0,0,15.0
1,2,1,29.0,0,0,10.5,0,0,0,0,0,0,0,1,0,0,0,0,1,10.0
0,3,0,19.0,0,0,8.1583,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
1,3,1,17.0,4,2,7.925,0,1,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,0,26.0,2,0,8.6625,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0
0,2,0,32.0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0
0,3,1,16.0,5,2,46.9,0,1,0,0,0,0,0,0,0,0,0,0,1,47.0
0,2,0,21.0,0,0,73.5,0,0,0,0,0,0,0,0,0,0,0,0,1,74.0
0,3,0,26.0,1,0,14.4542,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0
1,3,0,32.0,0,0,56.4958,0,0,0,0,0,0,0,0,0,0,0,0,1,56.0
